//X,Y,Z
1 1 inf
1 2 inf
1 3 inf
1 4 inf
1 5 inf
1 6 inf
1 7 inf
1 8 inf
1 9 inf
1 10 inf
1 11 inf
1 12 inf
1 13 inf
1 14 inf
1 15 inf
1 16 inf
1 17 inf
1 18 inf
1 19 inf
1 20 inf
1 21 inf
1 22 inf
1 23 inf
1 24 inf
1 25 inf
1 26 inf
1 27 inf
1 28 inf
1 29 inf
1 30 inf
1 31 inf
1 32 inf
1 33 inf
1 34 inf
1 35 inf
1 36 inf
1 37 inf
1 38 inf
1 39 inf
1 40 inf
1 41 inf
1 42 inf
1 43 inf
1 44 inf
1 45 inf
1 46 inf
1 47 inf
1 48 inf
1 49 inf
1 50 inf

2 1 inf
2 2 inf
2 3 inf
2 4 inf
2 5 inf
2 6 inf
2 7 inf
2 8 inf
2 9 inf
2 10 inf
2 11 inf
2 12 inf
2 13 inf
2 14 inf
2 15 inf
2 16 inf
2 17 inf
2 18 0
2 19 inf
2 20 0
2 21 inf
2 22 inf
2 23 inf
2 24 inf
2 25 inf
2 26 inf
2 27 0
2 28 0
2 29 inf
2 30 0
2 31 inf
2 32 0
2 33 inf
2 34 0
2 35 inf
2 36 inf
2 37 inf
2 38 inf
2 39 0
2 40 inf
2 41 0
2 42 0
2 43 0
2 44 inf
2 45 inf
2 46 0
2 47 0
2 48 0
2 49 0
2 50 0

3 1 inf
3 2 inf
3 3 inf
3 4 inf
3 5 inf
3 6 inf
3 7 inf
3 8 inf
3 9 inf
3 10 inf
3 11 inf
3 12 0
3 13 inf
3 14 inf
3 15 inf
3 16 inf
3 17 inf
3 18 inf
3 19 0
3 20 inf
3 21 inf
3 22 inf
3 23 0
3 24 0
3 25 inf
3 26 inf
3 27 0
3 28 0
3 29 inf
3 30 inf
3 31 inf
3 32 0
3 33 inf
3 34 inf
3 35 inf
3 36 0
3 37 0
3 38 inf
3 39 inf
3 40 0
3 41 0
3 42 inf
3 43 0
3 44 inf
3 45 inf
3 46 inf
3 47 inf
3 48 inf
3 49 0
3 50 0

4 1 inf
4 2 inf
4 3 inf
4 4 0
4 5 inf
4 6 0
4 7 inf
4 8 inf
4 9 inf
4 10 inf
4 11 inf
4 12 inf
4 13 inf
4 14 inf
4 15 inf
4 16 inf
4 17 inf
4 18 inf
4 19 inf
4 20 0
4 21 0
4 22 inf
4 23 0
4 24 inf
4 25 inf
4 26 inf
4 27 inf
4 28 inf
4 29 0
4 30 0
4 31 inf
4 32 inf
4 33 inf
4 34 0
4 35 inf
4 36 0
4 37 inf
4 38 inf
4 39 inf
4 40 inf
4 41 inf
4 42 0
4 43 inf
4 44 0
4 45 inf
4 46 0
4 47 inf
4 48 0
4 49 inf
4 50 inf

5 1 inf
5 2 inf
5 3 inf
5 4 0
5 5 inf
5 6 inf
5 7 inf
5 8 0
5 9 0
5 10 inf
5 11 inf
5 12 inf
5 13 inf
5 14 inf
5 15 inf
5 16 inf
5 17 inf
5 18 inf
5 19 0
5 20 0
5 21 inf
5 22 inf
5 23 inf
5 24 inf
5 25 0
5 26 inf
5 27 inf
5 28 inf
5 29 0
5 30 inf
5 31 0
5 32 inf
5 33 0
5 34 0
5 35 inf
5 36 inf
5 37 inf
5 38 0
5 39 inf
5 40 inf
5 41 0
5 42 inf
5 43 0
5 44 inf
5 45 inf
5 46 inf
5 47 0
5 48 inf
5 49 0
5 50 inf

6 1 inf
6 2 inf
6 3 inf
6 4 inf
6 5 inf
6 6 inf
6 7 inf
6 8 inf
6 9 0
6 10 inf
6 11 inf
6 12 inf
6 13 inf
6 14 inf
6 15 inf
6 16 inf
